                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.46677,                0.60808,                 1.1061,                0.72535,                0.72068,                0.79676,                0.38578,                 1.8926,                 1.1535,                 3.7418,               0.006634,               0.006634,               0.006634
                    104,                0.45085,                 0.6159,                 1.0989,                0.68042,                0.71817,                0.75803,                0.36444,                 1.8885,                  1.517,                 4.0816,               0.006601,               0.006601,               0.006601
                    105,                0.47358,                0.61554,                 1.1155,                0.70478,                0.82826,                0.81563,                0.38861,                 1.8891,                 1.2334,                 3.7827,               0.006568,               0.006568,               0.006568
                    106,                0.46761,                0.62131,                 1.1043,                0.68536,                    0.8,                0.82204,                0.38221,                  1.929,                  1.166,                 4.0095,               0.006535,               0.006535,               0.006535
                    107,                0.46937,                0.60813,                 1.1084,                0.67666,                   0.77,                0.80364,                 0.3819,                 1.9399,                 1.1966,                 3.9554,               0.006502,               0.006502,               0.006502
                    108,                0.45617,                0.61576,                 1.1056,                0.65572,                0.85997,                0.81336,                0.37918,                 2.0144,                 1.2357,                 4.3252,               0.006469,               0.006469,               0.006469
                    109,                0.45653,                0.61646,                 1.1002,                0.62548,                0.84394,                 0.7873,                0.38596,                 1.9041,                 1.1653,                 3.9044,               0.006436,               0.006436,               0.006436
                    110,                0.46917,                0.60952,                   1.11,                0.68208,                   0.83,                0.81389,                0.38295,                  1.955,                 1.1565,                 4.2387,               0.006403,               0.006403,               0.006403
                    111,                0.46677,                0.59523,                 1.1053,                0.72632,                   0.83,                0.85559,                0.39271,                 1.9275,                  1.121,                 4.0095,                0.00637,                0.00637,                0.00637
                    112,                0.45981,                0.59897,                    1.1,                0.83013,                0.73177,                0.88551,                0.37912,                 2.0323,                 1.2041,                 4.3319,               0.006337,               0.006337,               0.006337
                    113,                0.46754,                 0.6013,                 1.1056,                0.72896,                0.88626,                0.86622,                0.38276,                 1.9686,                 1.0209,                 4.0088,               0.006304,               0.006304,               0.006304
                    114,                0.45066,                0.58945,                 1.0908,                0.81199,                0.82677,                0.85826,                0.39125,                 1.9302,                 1.1428,                  4.003,               0.006271,               0.006271,               0.006271
                    115,                0.46749,                0.60227,                 1.1037,                0.71289,                0.78928,                0.82447,                0.38332,                 1.9469,                 1.1383,                 4.1043,               0.006238,               0.006238,               0.006238
                    116,                0.45318,                0.59735,                  1.096,                0.68077,                0.79515,                0.81321,                0.39782,                 1.9532,                  1.262,                 4.1402,               0.006205,               0.006205,               0.006205
                    117,                0.45607,                0.59547,                 1.0951,                 0.6973,                0.79917,                0.80583,                0.38023,                 1.9679,                 1.2049,                 4.2831,               0.006172,               0.006172,               0.006172
                    118,                0.45692,                 0.5819,                 1.0941,                0.74361,                0.78334,                0.81964,                  0.379,                 1.8899,                 1.2494,                 3.8878,               0.006139,               0.006139,               0.006139
                    119,                0.45316,                0.58731,                 1.0973,                0.75438,                0.83858,                0.84471,                0.39223,                  1.997,                 1.1576,                 4.2462,               0.006106,               0.006106,               0.006106
                    120,                0.45923,                 0.5871,                 1.1038,                 0.6853,                0.84993,                0.82338,                0.39261,                 1.9569,                 1.1224,                 4.1922,               0.006073,               0.006073,               0.006073
                    121,                 0.4554,                0.58263,                 1.1025,                0.69353,                 0.8416,                0.82628,                  0.384,                 1.9106,                 1.1254,                 4.1354,                0.00604,                0.00604,                0.00604
                    122,                0.45249,                0.58294,                  1.098,                0.70878,                0.87819,                 0.8589,                0.39299,                 1.9629,                 1.1134,                 4.2816,               0.006007,               0.006007,               0.006007
                    123,                0.46217,                 0.5833,                 1.1011,                0.86039,                0.75454,                0.87096,                0.39583,                 1.9032,                 1.1223,                 4.1671,               0.005974,               0.005974,               0.005974
                    124,                0.45065,                0.55408,                 1.0947,                0.70205,                   0.77,                0.79771,                0.37393,                 1.9611,                 1.1832,                 4.1139,               0.005941,               0.005941,               0.005941
                    125,                0.44172,                0.56588,                 1.0837,                0.79662,                0.85483,                0.86654,                0.39788,                 1.9655,                 1.0638,                 4.4459,               0.005908,               0.005908,               0.005908
                    126,                0.45536,                0.57604,                 1.1013,                0.79385,                0.79695,                0.82266,                0.37374,                 1.9881,                 1.0659,                 4.3007,               0.005875,               0.005875,               0.005875
                    127,                0.45208,                0.56792,                 1.0927,                0.70795,                 0.8756,                0.83236,                0.37552,                 1.9854,                 1.1066,                 4.2391,               0.005842,               0.005842,               0.005842
                    128,                0.44773,                0.57854,                 1.0934,                0.64732,                0.86798,                0.79577,                0.36565,                 1.9881,                 1.0919,                 4.2428,               0.005809,               0.005809,               0.005809
                    129,                0.44184,                0.55947,                 1.0861,                0.74091,                    0.8,                0.82333,                0.37735,                 1.9656,                 1.1066,                 4.1635,               0.005776,               0.005776,               0.005776
                    130,                0.45333,                0.56797,                 1.0948,                0.71858,                   0.88,                0.83565,                0.37671,                 2.0409,                 1.1511,                 4.3492,               0.005743,               0.005743,               0.005743
                    131,                0.45392,                0.58452,                 1.0999,                0.67681,                0.81185,                 0.8092,                0.37455,                 1.9872,                 1.1646,                 4.1718,                0.00571,                0.00571,                0.00571
                    132,                0.45605,                0.56234,                 1.0976,                0.72408,                   0.81,                0.81876,                0.38342,                 1.9185,                   1.17,                 4.0502,               0.005677,               0.005677,               0.005677
                    133,                0.45502,                0.56794,                 1.1024,                0.65357,                   0.83,                0.80125,                0.37257,                 1.9782,                 1.2568,                 4.1361,               0.005644,               0.005644,               0.005644
                    134,                  0.453,                0.57358,                 1.0934,                0.70086,                0.87498,                0.84525,                0.38705,                 1.9661,                 1.1358,                 4.1629,               0.005611,               0.005611,               0.005611
                    135,                0.45031,                0.55559,                  1.101,                0.72325,                    0.8,                0.80174,                0.37371,                 1.9734,                 1.1985,                 4.2804,               0.005578,               0.005578,               0.005578
                    136,                0.44714,                0.56337,                 1.0965,                0.71306,                0.81649,                0.81016,                0.37817,                 1.9835,                 1.1431,                 4.3077,               0.005545,               0.005545,               0.005545
                    137,                  0.444,                0.55397,                 1.0945,                0.71963,                0.80094,                0.81417,                0.38539,                 1.9536,                  1.253,                 4.2442,               0.005512,               0.005512,               0.005512
                    138,                0.45535,                0.56903,                 1.1017,                0.71951,                0.78645,                 0.8191,                0.39207,                   1.97,                 1.1337,                 4.1595,               0.005479,               0.005479,               0.005479
                    139,                0.45552,                0.55464,                 1.0965,                0.67063,                   0.86,                0.81715,                0.38052,                 1.9728,                 1.1598,                 4.2393,               0.005446,               0.005446,               0.005446
                    140,                0.44913,                 0.5522,                 1.0959,                0.80553,                0.74949,                 0.8312,                0.38609,                 1.9656,                 1.1836,                 4.2311,               0.005413,               0.005413,               0.005413
                    141,                0.43521,                0.54768,                 1.0871,                0.80245,                0.80922,                0.84497,                0.38719,                 1.9459,                 1.1389,                 4.2384,                0.00538,                0.00538,                0.00538
                    142,                0.45091,                0.55965,                 1.1045,                0.72136,                0.79547,                0.81743,                0.38732,                 1.9875,                 1.2696,                   4.43,               0.005347,               0.005347,               0.005347
